country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Libya,Africa,181714,3092.0,168378,10244,,26135,445.0,986596.0,141898.0,6952869
Liechtenstein,Europe,2990,58.0,2887,45,3.0,78223,1517.0,39109.0,1023153.0,38224
Lithuania,Europe,266063,4112.0,240079,21872,178.0,98950,1529.0,3111213.0,1157070.0,2688871
Luxembourg,Europe,69065,808.0,66183,2074,30.0,108788,1273.0,2761206.0,4349308.0,634861
Macedonia,Europe,154725,5230.0,146043,3452,111.0,74269,2510.0,757794.0,363747.0,2083299
Madagascar,Africa,40204,771.0,37945,1488,268.0,1420,27.0,195878.0,6919.0,28309896
Malawi,Africa,34216,1153.0,32241,822,11.0,1749,59.0,239237.0,12231.0,19559677
Malaysia,Asia,474556,1947.0,429103,43506,522.0,14500,59.0,10573102.0,323058.0,32728141
Maldives,Asia,45956,101.0,28849,17006,90.0,83732,184.0,798691.0,1455224.0,548844
Mali,Africa,14194,511.0,9290,4393,,684,25.0,284837.0,13722.0,20757350
Malta,Europe,30484,417.0,29920,147,,68879,942.0,898798.0,2030847.0,442573
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59539
Martinique,North America,11736,90.0,98,11548,24.0,31295,240.0,170302.0,454127.0,375010
